"","x"
"206","TCGA-IW-A3M5-01A-22R-A21T-07"
"207","TCGA-QC-A6FX-01A-11R-A32Q-07"
"208","TCGA-DX-AB2V-01A-11R-A41I-07"
"209","TCGA-IE-A6BZ-01A-11R-A30C-07"
"210","TCGA-X6-A7WA-01A-12R-A355-07"
"211","TCGA-DX-A7EQ-01A-11R-A466-07"
"212","TCGA-VT-AB3D-01A-12R-A41I-07"
"213","TCGA-VT-A80G-01A-11R-A36F-07"
"214","TCGA-IF-A4AJ-01A-11R-A24X-07"
"215","TCGA-DX-A6YX-01A-11R-A41I-07"
"216","TCGA-DX-A23Y-01A-11R-A27Q-07"
"217","TCGA-DX-A7ET-01A-11R-A36F-07"
"218","TCGA-3B-A9HJ-01A-11R-A38C-07"
"219","TCGA-IF-A3RQ-01A-11R-A22K-07"
"220","TCGA-DX-A6YV-01A-12R-A355-07"
"221","TCGA-DX-A3LY-01B-11R-A27Q-07"
"222","TCGA-DX-AB2Z-01A-11R-A38C-07"
"223","TCGA-DX-A8BS-01A-11R-A37L-07"
"224","TCGA-DX-A3UE-01A-11R-A30C-07"
"225","TCGA-PC-A5DM-01A-11R-A27Q-07"
"226","TCGA-K1-A42W-01A-11R-A24X-07"
"227","TCGA-HS-A5NA-01A-11R-A26T-07"
"228","TCGA-HB-A3YV-01A-11R-A24X-07"
"229","TCGA-DX-AB2X-01A-11R-A38C-07"
"230","TCGA-PC-A5DP-01A-11R-A26T-07"
"231","TCGA-DX-A1KX-01A-22R-A24X-07"
"232","TCGA-DX-AB36-01A-11R-A41I-07"
"233","TCGA-QQ-A5V9-01A-11R-A32Q-07"
"234","TCGA-DX-A7ER-01A-11R-A36F-07"
"235","TCGA-DX-A6YR-01A-33R-A355-07"
"236","TCGA-FX-A3TO-01A-11R-A22K-07"
"237","TCGA-DX-A1KU-01A-32R-A24X-07"
"238","TCGA-3B-A9HX-01A-11R-A39D-07"
"239","TCGA-HS-A5N7-01A-21R-A26T-07"
"240","TCGA-JV-A5VF-01A-11R-A29R-07"
"241","TCGA-DX-AB2J-01A-11R-A38C-07"
"242","TCGA-DX-A7EI-01A-11R-A33J-07"
"243","TCGA-DX-AB2H-01A-11R-A39D-07"
"244","TCGA-MB-A5Y9-01A-11R-A29R-07"
"245","TCGA-MO-A47R-01A-11R-A24X-07"
"246","TCGA-DX-A6B8-01A-11R-A30C-07"
"247","TCGA-LI-A9QH-01A-11R-A37L-07"
"248","TCGA-IE-A4EJ-01A-11R-A24X-07"
"249","TCGA-X6-A7W8-01A-21R-A355-07"
"250","TCGA-DX-AB2P-01A-11R-A38C-07"
"251","TCGA-IS-A3KA-01A-11R-A21T-07"
"252","TCGA-DX-A8BJ-01A-11R-A41I-07"
"253","TCGA-QC-A7B5-01A-11R-A33J-07"
"254","TCGA-KF-A41W-01A-11R-A24X-07"
"255","TCGA-PC-A5DL-01A-11R-A26T-07"
"256","TCGA-WK-A8XX-01A-11R-A37L-07"
"257","TCGA-DX-A23Z-01A-11R-A27Q-07"
"258","TCGA-DX-A6Z2-01A-12R-A36F-07"
"259","TCGA-PC-A5DN-01A-12R-A27Q-07"
"260","TCGA-DX-A8BP-01A-11R-A37L-07"
"261","TCGA-X6-A8C4-01A-11R-A36F-07"
"262","TCGA-X6-A7WC-01A-12R-A355-07"
